"doi","title","amazon_id","review_text"
"10.1086/656863","Biological Systematics: Principles and Applications","0801447992","At last we have the first condense and well written treatment on Cladistics for English speakers. Phylogenetic systematics or Cladistics is a young field relative to the more than 200 years of taxonomic history. The  pioneers textbooks on the subject (e.g., Nelson and Platnick, Wiley),  although excellent, appeared at the beginning of the eighties and reflect  the turbulent history of systematics during the late sixties and most of  the seventies. The rapid maturation of the field during the next decade  rendered these books quickly out of date regarding methods of analysis (the  conceptual framework is still as fresh as ever). Other edited textbooks in  English appeared at the beginning of the nineties, but their lack of  condensation and consistency and their often lack of critical evaluation  made them even dangerous for students trying to learn the subject. R. T.  Schuh book comes to the rescue of students trying to become good  systematists. The book summarizes and condenses the various topics of  Cladistics without loosing important details. It also stresses the place of  phylogenetic studies inside general biological taxonomic practices,  debunking the myth that you must either construct phylogenies or work on  taxonomy and nomenclature. Every student of biology must read this book."
"10.1086/656863","Biological Systematics: Principles and Applications","0801447992","It is an awesome book which contains very good information about phylogeny and systematics in general. Who likes systematics cannot fail to have this book."
"10.1086/656863","Biological Systematics: Principles and Applications","0801447992","Systematics is the art, the science, and the ongoing debate of assigning organisms to phylogenetic groups. If you're from bioinformatics, you may think, \"Oh. Tree-building.\" This book is much more fundmental: it talks about the biological data and philosophical approach needed for any kind of organization. This book informs the beliefs behind your choice of algorithms and data to involve.		Modern bioinformaticists usually assume that tree-building moves forward from DNA or protein strings. That blinds us to the 200 years of classification based on physical features, behavior, and even geographic distribution. In that time, huge numbers of debates have sprung up, too many to list here. A few caught my interest though. First, suppose that \"all pterogyte insects have wings\". The fight starts when an apparent pterogyte shows up with no wings. Personally, I don't see the problem. If having wings is a defining feature, then it's a non-pterogyte, mutations excepted. If having wings is a pattern we noticed but not part of the definition, then the pattern needs work. I'm not a taxonomist, though.		Another debate (p.53) is whether to accept parsimony, the principle of least mechanism, as a taxonomic tool. The objectors claim that it's suspect because of the assumptions behind it, whether or not anyone has \"... stat[ed] precisely what the assumptions are.\" Well, someone may come up with an assumption some day, so we may as well get our objections in early.		This book is distinctly non-mathematical. I don't know all that much, but I do know to ask what background probability model is used to decide whether a similarity or difference matters. That was never mentioned explicitly, but was silently buried in half-page descriptions of jack-knifing and boot-strapping.		It's non-mathematical content is very valuable, though. Its glossary gives clear descriptions of subtly different terms. The chapter on nomenclature, the formal process of naming, was a real discovery for me. I had no idea that the rules were so elaborate.		Perhaps it's the nature of the field, but I was surprised at how few recent references appeared at the end of most chapters. I appreciate the classic papers, back to the 1900s. The 1970s were well represented. References from the 1990s, however, were startling when they did appear, since there were so very few of them. Considering the book's 2000 copyright date, the source material seemed older than I would have expected.		This won't give you any insight into algorithms or mathematical techniques, which disappointed me initially. Once I settled into the biological and historical insight that the book does give, though, I found it very enjoyable."
"10.1086/656863","Biological Systematics: Principles and Applications","0801447992","An extremely informative introduction to systematics.  Breaks down foundational information/concepts in a way that makes them easy to understand and apply."
"10.1086/656863","Biological Systematics: Principles and Applications","0801447992","This book makes a great revision on the development of some of the ideas and methods currently used in cladistics.  Even though it is not a deep revision it succintly addresses the major ideas in which the theory has been developed.  The strongest point that this book makes is the role of philosophy of science in development of cladistic methods (Chapter 3). Schuh scores again in Chapter 6, by presenting the common methods in quantitative cladistics, and by presenting a thoroughly discussion about long branch attraction (a potential nightmare for molecular biologists). It is a little bit too synthetic in presenting the applications of cladistic analyses. It also is biased to applications in biogeography and it presents Brooks Parsimony Analysis (BPA) and Assumptions 0, 1, and 2 as separate things when the aforemention assumptions must be used as part of BPA.	In short it is a great summary of the development of concepts and methods in cladistics during the last 40 years, for such a reason it is a great tool for undergraduate students that my overcome that gap in their knowledge."
"10.1086/656863","Biological Systematics: Principles and Applications","0801447992","Not necessarily just the authors point on the subject of systematics. Schuh provides an objective look at the classification of a taxon and the fundemental basis for understanding such endevors. Although the disagreements of other scientists in the subject area becomes overwhelming, Schuh provides a well written technical look at what is involved in systematics. Surely not intended for a novice in the subject area of biology."
"10.1086/656863","Biological Systematics: Principles and Applications","0801447992","Thanks to quick sending, I could use that book in my class!!"
"10.1086/656863","Biological Systematics: Principles and Applications","0801447992","I added the \"?\" as this is very much an account of the narrow cladistic-phylogenetic approach to a vast subject, so the title could be misleading. Not a book for a biologist wanting to understand systematics, but rather a text for a graduate student working with such approaches."
"10.1086/655035","Bioinformatics","0470089857","I have used databases before (mostly NCBI, TIGR and SWISS PROT) and yet, this book (presumably for dummies) has shown me so much more(which say a lot about me)! It is accurate and gives good step by step guide to how to perform many tasks - from how to find a gene to using the analysis tools and to exploring some of the newer features of these databases - and the areas like you have never looked into before.	It is a well-researched book and the authors are clearly knowledgeable in this area.<p>Even though I have been for a 4-day bioinformatics course (6 months ago), which I thought was pretty good, this book still had so much to offer. Using this book, I was easily able to substitute the proteins of my interest into their examples and generated meaningful hits.<p>The book also covers deeper and more advanced features of BLAST, discusses sequence alignments using several types of algorithm and even has a section on 3D structures. Towards the end of book - it features a section on working with mRNA and building phylogenetics trees - which again are excellent resources for teachers involved in teaching beginners molecular biology.<p>I am a teacher teaching at a Pre-unversity level. The way the book is structured also lends its material to be modified into lesson materials for training students. <p>It is really a great book! Worth every dollar I spent on it!"
"10.1086/655035","Bioinformatics","0470089857","\"Bioinformatics for Dummies\" is an excellent resource.  It is clear, easy to read, well organized and illustrated.  I was particularly pleased by the colloquial tone of the writing: in addition to being informative, it was fun to read!<p>As a scientist who spends at least half of my time BLASTing, I also read it for accuracy and found it to almost error-free (any errors were in the figures).  Additionally, most of the web pages were up-to-date, although as time passes the links will decay and web pages will change their look.  In addition, the book contained enough in-depth content to teach me several new tricks of the trade.  <p>Further, I believe the book had sufficient background material to educate the novice.  To test this, I gave the manual to a material science chemist and he was able to understand the material, at least until he decided it was more than he wanted to know and quit reading.<p>This is a useful text for those who want to know more than an operational definition of bioinformatics and a must for the library of all bioinformatics users."
